"COMMON.NAME","SCIENTIFIC.NAME","site1","site2","site3","site4","site5"
"Wreathed Hornbill","Rhyticeros undulatus",NA,NA,NA,"Kaziranga",NA
"Common Kingfisher","Alcedo atthis","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Blue-eared Kingfisher","Alcedo meninting",NA,NA,NA,"Kaziranga",NA
"Brown-winged Kingfisher","Pelargopsis amauroptera",NA,"Sundarbans",NA,NA,NA
"Stork-billed Kingfisher","Pelargopsis capensis",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Ruddy Kingfisher","Halcyon coromanda",NA,"Sundarbans",NA,NA,NA
"White-throated Kingfisher","Halcyon smyrnensis","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Black-capped Kingfisher","Halcyon pileata",NA,"Sundarbans",NA,NA,NA
"Collared Kingfisher","Todiramphus chloris",NA,"Sundarbans",NA,NA,NA
"Pied Kingfisher","Ceryle rudis","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Blue-bearded Bee-eater","Nyctyornis athertoni",NA,NA,NA,"Kaziranga",NA
"Asian Green Bee-eater","Merops orientalis","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Blue-tailed Bee-eater","Merops philippinus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Chestnut-headed Bee-eater","Merops leschenaulti",NA,"Sundarbans",NA,"Kaziranga",NA
"Indian Roller","Coracias benghalensis","Lodhi Gardens","Sundarbans","Taj Mahal",NA,"Bharatpur"
"Indochinese Roller","Coracias affinis",NA,"Sundarbans",NA,"Kaziranga",NA
"Dollarbird","Eurystomus orientalis",NA,NA,NA,"Kaziranga",NA
"Coppersmith Barbet","Psilopogon haemacephalus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Blue-eared Barbet","Psilopogon duvaucelii",NA,NA,NA,"Kaziranga",NA
"Great Barbet","Psilopogon virens",NA,NA,NA,"Kaziranga",NA
"Lineated Barbet","Psilopogon lineatus",NA,"Sundarbans",NA,"Kaziranga",NA
"Brown-headed Barbet","Psilopogon zeylanicus","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
