eBird.Code,eBird.English.Name.2023,eBird.Scientific.Name.2023,Order,Family
hattyr1,Hangnest Tody-Tyrant,Hemitriccus nidipendulus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
pvttyr1,Pearly-vented Tody-Tyrant,Hemitriccus margaritaceiventer,Passeriformes,Tyrannidae (Tyrant Flycatchers)
pettyr1,Pelzeln's Tody-Tyrant,Hemitriccus inornatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
zittyr1,Zimmer's Tody-Tyrant,Hemitriccus minimus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
btttyr1,Black-throated Tody-Tyrant,Hemitriccus granadensis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
cbttyr1,Cinnamon-breasted Tody-Tyrant,Hemitriccus cinnamomeipectus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bbttyr2,Buff-breasted Tody-Tyrant,Hemitriccus mirandae,Passeriformes,Tyrannidae (Tyrant Flycatchers)
kattyr1,Kaempfer's Tody-Tyrant,Hemitriccus kaempferi,Passeriformes,Tyrannidae (Tyrant Flycatchers)
btttyr2,Buff-throated Tody-Tyrant,Hemitriccus rufigularis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
fotpyt1,Fork-tailed Pygmy-Tyrant,Hemitriccus furcatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
rcttyr1,Rufous-crowned Tody-Flycatcher,Poecilotriccus ruficeps,Passeriformes,Tyrannidae (Tyrant Flycatchers)
johtot1,Johnson's Tody-Flycatcher,Poecilotriccus luluae,Passeriformes,Tyrannidae (Tyrant Flycatchers)
wcttyr1,White-cheeked Tody-Flycatcher,Poecilotriccus albifacies,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bawtyr1,Black-and-white Tody-Flycatcher,Poecilotriccus capitalis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
buctof1,Buff-cheeked Tody-Flycatcher,Poecilotriccus senex,Passeriformes,Tyrannidae (Tyrant Flycatchers)
rudtof1,Ruddy Tody-Flycatcher,Poecilotriccus russatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
ocftof1,Ochre-faced Tody-Flycatcher,Poecilotriccus plumbeiceps,Passeriformes,Tyrannidae (Tyrant Flycatchers)
smftof1,Smoky-fronted Tody-Flycatcher,Poecilotriccus fumifrons,Passeriformes,Tyrannidae (Tyrant Flycatchers)
ruftof1,Rusty-fronted Tody-Flycatcher,Poecilotriccus latirostris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
shtfly1,Slate-headed Tody-Flycatcher,Poecilotriccus sylvia,Passeriformes,Tyrannidae (Tyrant Flycatchers)
gowtof1,Golden-winged Tody-Flycatcher,Poecilotriccus calopterus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bkbtof1,Black-backed Tody-Flycatcher,Poecilotriccus pulchellus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
blctyr2,Black-chested Tyrant,Taeniotriccus andrei,Passeriformes,Tyrannidae (Tyrant Flycatchers)
sptfly1,Spotted Tody-Flycatcher,Todirostrum maculatum,Passeriformes,Tyrannidae (Tyrant Flycatchers)
