eBird.English.Name.2022,eBird.English.Name.2023,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Brown-breasted Flycatcher,Brown-breasted Flycatcher,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Winter Migrant,NA,NA,NA,Brown-breasted Flycatcher,Muscicapa muttui,
Spotted Flycatcher,Spotted Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Passage Migrant,NA,NA,NA,Spotted Flycatcher,Muscicapa striata,
Rufous-tailed Scrub-Robin,Rufous-tailed Scrub-Robin,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Grassland & Scrub,Passage Migrant,NA,NA,NA,Rufous-tailed Scrub Robin,Cercotrichas galactotes,
Indian Robin,Indian Robin,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Non-specialized,Resident,NA,NA,NA,Indian Robin,Copsychus fulicatus,
Oriental Magpie-Robin,Oriental Magpie-Robin,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Oriental Magpie Robin,Copsychus saularis,
White-rumped Shama,White-rumped Shama,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,White-rumped Shama,Copsychus malabaricus,
Andaman Shama,Andaman Shama,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,,Yes,Yes,No,Andaman Islands,Forest & Plantation,Resident,NA,NA,1,Andaman Shama,Copsychus albiventris,
White-gorgeted Flycatcher,White-gorgeted Flycatcher,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,1,NA,NA,White-gorgeted Flycatcher,Anthipes monileger,
Nilgiri Sholakili,Nilgiri Sholakili,High,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest & Plantation,Resident,NA,NA,NA,Nilgiri Sholakili,Sholicola major,
White-bellied Sholakili,White-bellied Sholakili,High,Uncertain,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest & Plantation,Resident,NA,NA,NA,White-bellied Sholakili,Sholicola albiventris,
White-tailed Flycatcher,White-tailed Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Winter Migrant,NA,NA,NA,White-tailed Flycatcher,Leucoptilon concretum,
White-bellied Blue Flycatcher,White-bellied Blue Flycatcher,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,White-bellied Blue Flycatcher,Cyornis pallidipes,
Pale-chinned Blue Flycatcher,Pale-chinned Flycatcher,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Pale-chinned Flycatcher,Cyornis poliogenys,
Pale Blue Flycatcher,Pale Blue Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Pale Blue Flycatcher,Cyornis unicolor,
Blue-throated Flycatcher,Blue-throated Flycatcher,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Within-India Migrant,NA,NA,NA,Blue-throated Flycatcher,Cyornis rubeculoides,
Large Blue Flycatcher,Large Blue Flycatcher,High,Data Deficient,Data Deficient,Data Deficient,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant,1,NA,NA,Large Blue Flycatcher,Cyornis magnirostris,
Hill Blue Flycatcher,Hill Blue Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Hill Blue Flycatcher,Cyornis whitei,
Tickell's Blue Flycatcher,Tickell's Blue Flycatcher,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Tickell's Blue Flycatcher,Cyornis tickelliae,
Nicobar Jungle Flycatcher,Nicobar Jungle Flycatcher,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Jungle Flycatcher,Cyornis nicobaricus,
Large Niltava,Large Niltava,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Large Niltava,Niltava grandis,
Small Niltava,Small Niltava,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Small Niltava,Niltava macgrigoriae,
Rufous-bellied Niltava,Rufous-bellied Niltava,Moderate,Uncertain,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Rufous-bellied Niltava,Niltava sundara,
Chinese Vivid Niltava,Chinese Vivid Niltava,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant & Localized Winter Migrant,NA,1,NA,Chinese Vivid Niltava,Niltava oatesi,
Blue-and-white Flycatcher,Blue-and-white Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Winter Migrant,NA,1,NA,Blue-and-white Flycatcher,Cyanoptila cyanomelana,
Zappey's Flycatcher,Zappey's Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Uncertain,NA,1,NA,Zappey's Flycatcher,Cyanoptila cumatilis,
Nilgiri Flycatcher,Nilgiri Flycatcher,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest & Plantation,Resident,NA,NA,NA,Nilgiri Flycatcher,Eumyias albicaudatus,
Verditer Flycatcher,Verditer Flycatcher,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Within-India Migrant & Winter Migrant,NA,NA,NA,Verditer Flycatcher,Eumyias thalassinus,
Rusty-bellied Shortwing,Rusty-bellied Shortwing,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Eastern Himalayas,Forest,Resident & Local Migrant,NA,NA,NA,Rusty-bellied Shortwing,Brachypteryx hyperythra,
Gould's Shortwing,Gould's Shortwing,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,Yes,Eastern Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Gould's Shortwing,Heteroxenicus stellatus,
Lesser Shortwing,Lesser Shortwing,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Lesser Shortwing,Brachypteryx leucophris,
Himalayan Shortwing,Himalayan Shortwing,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,1,NA,NA,Himalayan Shortwing,Brachypteryx cruralis,
Indian Blue Robin,Indian Blue Robin,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Within-India Migrant & Winter Migrant,1,NA,NA,Indian Blue Robin,Larvivora brunnea,
Siberian Blue Robin,Siberian Blue Robin,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Winter Migrant,NA,NA,NA,Siberian Blue Robin,Larvivora cyane,
White-bellied Redstart,White-bellied Redstart,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Alpine & Cold Desert,Altitudinal Migrant,1,NA,NA,White-bellied Redstart,Luscinia phaenicuroides,
Bluethroat,Bluethroat,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Bluethroat,Luscinia svecica,
Malabar Whistling-Thrush,Malabar Whistling-Thrush,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Mainland India,Non-specialized,Resident & Local Migrant,NA,NA,NA,Malabar Whistling Thrush,Myophonus horsfieldii,
Blue Whistling-Thrush,Blue Whistling-Thrush,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Altitudinal Migrant,NA,NA,NA,Blue Whistling Thrush,Myophonus caeruleus,
Little Forktail,Little Forktail,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Resident & Altitudinal Migrant,NA,NA,NA,Little Forktail,Enicurus scouleri,
White-crowned Forktail,White-crowned Forktail,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,White-crowned Forktail,Enicurus leschenaulti,
Spotted Forktail,Spotted Forktail,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Altitudinal Migrant,NA,NA,NA,Spotted Forktail,Enicurus maculatus,
Black-backed Forktail,Black-backed Forktail,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Black-backed Forktail,Enicurus immaculatus,
Slaty-backed Forktail,Slaty-backed Forktail,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Slaty-backed Forktail,Enicurus schistaceus,
Firethroat,Firethroat,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Passage Migrant,NA,1,NA,Firethroat,Calliope pectardens,
Siberian Rubythroat,Siberian Rubythroat,Moderate,Data Deficient,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,Siberian Rubythroat,Calliope calliope,
Himalayan Rubythroat,Himalayan Rubythroat,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Grassland & Scrub,Local Migrant,1,NA,NA,Himalayan Rubythroat,Calliope pectoralis,
Chinese Rubythroat,Chinese Rubythroat,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Grassland,Winter Migrant & Localized Summer Migrant,1,NA,NA,Chinese Rubythroat,Calliope tschebaiewi,
White-tailed Robin,White-tailed Robin,Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,White-tailed Robin,Myiomela leucura,
Blue-fronted Robin,Blue-fronted Robin,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,1,NA,NA,Blue-fronted Robin,Cinclidium frontale,
Red-flanked Bluetail,Red-flanked Bluetail,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Winter Migrant,NA,1,NA,Red-flanked Bush Robin,Tarsiger cyanurus,
Himalayan Bluetail,Himalayan Bluetail,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Himalayan Bush Robin,Tarsiger rufilatus,
Rufous-breasted Bush-Robin,Rufous-breasted Bush-Robin,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Rufous-breasted Bush Robin,Tarsiger hyperythrus,
White-browed Bush-Robin,White-browed Bush-Robin,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,1,NA,NA,White-browed Bush Robin,Tarsiger indicus,
Golden Bush-Robin,Golden Bush-Robin,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Golden Bush Robin,Tarsiger chrysaeus,
Yellow-rumped Flycatcher,Yellow-rumped Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Passage Migrant & Localized Winter Migrant,NA,1,NA,Yellow-rumped Flycatcher,Ficedula zanthopygia,
Mugimaki Flycatcher,Mugimaki Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Mugimaki Flycatcher,Ficedula mugimaki,
Slaty-backed Flycatcher,Slaty-backed Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Slaty-backed Flycatcher,Ficedula erithacus,
Black-and-orange Flycatcher,Black-and-orange Flycatcher,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest & Plantation,Resident,NA,NA,NA,Black-and-orange Flycatcher,Ficedula nigrorufa,
Slaty-blue Flycatcher,Slaty-blue Flycatcher,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Altitudinal Migrant,NA,NA,NA,Slaty-blue Flycatcher,Ficedula tricolor,
Snowy-browed Flycatcher,Snowy-browed Flycatcher,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Snowy-browed Flycatcher,Ficedula hyperythra,
Pygmy Flycatcher,Pygmy Flycatcher,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,1,NA,NA,Pygmy Blue Flycatcher,Ficedula hodgsoni,
Rufous-gorgeted Flycatcher,Rufous-gorgeted Flycatcher,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Altitudinal Migrant,NA,NA,NA,Rufous-gorgeted Flycatcher,Ficedula strophiata,
Sapphire Flycatcher,Sapphire Flycatcher,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,1,NA,NA,Sapphire Flycatcher,Ficedula sapphira,
Little Pied Flycatcher,Little Pied Flycatcher,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Altitudinal Migrant,NA,NA,NA,Little Pied Flycatcher,Ficedula westermanni,
Ultramarine Flycatcher,Ultramarine Flycatcher,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Within-India Migrant,NA,NA,NA,Ultramarine Flycatcher,Ficedula superciliaris,
Rusty-tailed Flycatcher,Rusty-tailed Flycatcher,Moderate,Uncertain,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Within-India Migrant,1,NA,NA,Rusty-tailed Flycatcher,Ficedula ruficauda,
Taiga Flycatcher,Taiga Flycatcher,,,,,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Winter Migrant,NA,NA,NA,Taiga Flycatcher,Ficedula albicilla,
Kashmir Flycatcher,Kashmir Flycatcher,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Within-India Migrant,NA,NA,NA,Kashmir Flycatcher,Ficedula subrubra,
Red-breasted Flycatcher,Red-breasted Flycatcher,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Winter Migrant,NA,NA,NA,Red-breasted Flycatcher,Ficedula parva,
Blue-fronted Redstart,Blue-fronted Redstart,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Altitudinal Migrant,NA,NA,NA,Blue-fronted Redstart,Phoenicurus frontalis,
Plumbeous Redstart,Plumbeous Redstart,Moderate,Uncertain,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,NA,NA,NA,Plumbeous Water Redstart,Phoenicurus fuliginosus,
Rufous-backed Redstart,Rufous-backed Redstart,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Eversmann's Redstart,Phoenicurus erythronotus,
White-capped Redstart,White-capped Redstart,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Within-India Migrant,NA,NA,NA,White-capped Redstart,Phoenicurus leucocephalus,
Blue-capped Redstart,Blue-capped Redstart,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Blue-capped Redstart,Phoenicurus coeruleocephala,
Common Redstart,Common Redstart,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,1,NA,Common Redstart,Phoenicurus phoenicurus,
Hodgson's Redstart,Hodgson's Redstart,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Winter Migrant,1,NA,NA,Hodgson's Redstart,Phoenicurus hodgsoni,
White-throated Redstart,White-throated Redstart,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Alpine & Cold Desert,Winter Migrant,NA,NA,NA,White-throated Redstart,Phoenicurus schisticeps,
White-winged Redstart,White-winged Redstart,Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,White-winged Redstart,Phoenicurus erythrogastrus,
Black Redstart,Black Redstart,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Black Redstart,Phoenicurus ochruros,
Daurian Redstart,Daurian Redstart,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Winter Migrant,NA,NA,NA,Daurian Redstart,Phoenicurus auroreus,
Chestnut-bellied Rock-Thrush,Chestnut-bellied Rock-Thrush,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Chestnut-bellied Rock Thrush,Monticola rufiventris,
Blue-capped Rock-Thrush,Blue-capped Rock-Thrush,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Within-India Migrant,NA,NA,NA,Blue-capped Rock Thrush,Monticola cinclorhyncha,
Rufous-tailed Rock-Thrush,Rufous-tailed Rock-Thrush,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Passage Migrant & Localized Summer Migrant,NA,1,NA,Rufous-tailed Rock Thrush,Monticola saxatilis,
Blue Rock-Thrush,Blue Rock-Thrush,Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Blue Rock Thrush,Monticola solitarius,
Whinchat,Whinchat,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Uncertain,NA,1,NA,Whinchat,Saxicola rubetra,
White-browed Bushchat,White-browed Bushchat,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Grassland,Winter Migrant,NA,NA,NA,Stoliczka's Bushchat,Saxicola macrorhynchus,
White-throated Bushchat,White-throated Bushchat,High,Data Deficient,Data Deficient,Data Deficient,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,1,NA,NA,Hodgson's Bushchat,Saxicola insignis,
Siberian Stonechat,Siberian Stonechat,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Siberian Stonechat,Saxicola maurus,
Amur Stonechat,Amur Stonechat,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Amur Stonechat,Saxicola stejnegeri,
White-tailed Stonechat,White-tailed Stonechat,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,White-tailed Stonechat,Saxicola leucurus,
Pied Bushchat,Pied Bushchat,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Resident & Within-India Migrant,1,NA,NA,Pied Bushchat,Saxicola caprata,
Jerdon's Bushchat,Jerdon's Bushchat,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,Jerdon's Bushchat,Saxicola jerdoni,
Gray Bushchat,Gray Bushchat,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Within-India Migrant,NA,NA,NA,Grey Bushchat,Saxicola ferreus,
Northern Wheatear,Northern Wheatear,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Passage Migrant & Localized Summer Migrant,NA,1,NA,Northern Wheatear,Oenanthe oenanthe,
Isabelline Wheatear,Isabelline Wheatear,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,NA,NA,Isabelline Wheatear,Oenanthe isabellina,
Desert Wheatear,Desert Wheatear,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Desert Wheatear,Oenanthe deserti,
Pied Wheatear,Pied Wheatear,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Alpine & Cold Desert,Summer Migrant,NA,1,NA,Pied Wheatear,Oenanthe pleschanka,
Brown Rock Chat,Brown Rock Chat,Low,Uncertain,Strong Increase,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Non-specialized,Resident,NA,NA,NA,Brown Rock Chat,Oenanthe fusca,
Variable Wheatear,Variable Wheatear,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Variable Wheatear,Oenanthe picata,
Hume's Wheatear,Hume's Wheatear,NA,NA,NA,NA,Diurnal,Diurnal,,No,No,No,Non-endemic,Open Habitat,Uncertain,NA,1,NA,Hume's Wheatear,Oenanthe albonigra,
Finsch's Wheatear,Finsch's Wheatear,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Uncertain,NA,1,NA,Finsch's Wheatear,Oenanthe finschii,
