eBird.English.Name.2022,eBird.English.Name.2023,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Black-breasted Weaver,Black-breasted Weaver,Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Wetland,Resident,NA,NA,NA,Black-breasted Weaver,Ploceus benghalensis,
Indian Silverbill,Indian Silverbill,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Indian Silverbill,Euodice malabarica,
Scaly-breasted Munia,Scaly-breasted Munia,Low,Uncertain,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Scaly-breasted Munia,Lonchura punctulata,
Black-throated Munia,Black-throated Munia,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,NA,Black-throated Munia,Lonchura kelaarti,
White-rumped Munia,White-rumped Munia,Moderate,Stable,Strong Decline,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,1,NA,NA,White-rumped Munia,Lonchura striata,
Tricolored Munia,Tricolored Munia,Moderate,Uncertain,Strong Decline,Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Grassland & Scrub,Resident,NA,NA,NA,Tricoloured Munia,Lonchura malacca,
Chestnut Munia,Chestnut Munia,,,,,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland & Scrub,Resident,NA,NA,NA,Chestnut Munia,Lonchura atricapilla,
Green Avadavat,Green Avadavat,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Plant & Seed,Yes,Yes,No,Central India,Grassland & Scrub,Resident,NA,NA,NA,Green Munia,Amandava formosa,
Red Avadavat,Red Avadavat,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland & Scrub,Resident,NA,NA,NA,Red Munia,Amandava amandava,
Alpine Accentor,Alpine Accentor,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Alpine Accentor,Prunella collaris,
